Date : 2024-06-29 16:03:20
Directory : c:\Users\LENOVO\Documents\GitHub\homeplace_front\src
Total : 60 files,  4323 codes, 26 comments, 401 blanks, all 4750 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| components\Dashboard\UserTabs (Files)                                                                                  |          2 |         79 |          0 |          8 |         87 |
| components\Dashboard\UserTabs\AdsTab                                                                                   |          1 |        252 |          0 |          9 |        261 |
| components\Dashboard\UserTabs\MediasTab                                                                                |          1 |          0 |          0 |          1 |          1 |
| components\FilterHeader                                                                                                |          1 |         84 |          0 |          5 |         89 |
| components\Footer                                                                                                      |          1 |         67 |          0 |          3 |         70 |
| components\Header                                                                                                      |          4 |        233 |          1 |         24 |        258 |
| components\Header (Files)                                                                                              |          1 |         13 |          0 |          5 |         18 |
| components\Header\Hero                                                                                                 |          2 |        103 |          1 |         11 |        115 |
| components\Header\Nav                                                                                                  |          1 |        117 |          0 |          8 |        125 |
| components\Nav2                                                                                                        |          1 |         89 |          0 |          6 |         95 |
| components\News_later                                                                                                  |          2 |         25 |          0 |          2 |         27 |
| components\ProductCard                                                                                                 |          1 |         37 |          0 |          6 |         43 |
| components\ProductDetailCard                                                                                           |          1 |        105 |          0 |          6 |        111 |
| components\SideBar                                                                                                     |          1 |        132 |          0 |         12 |        144 |
| components\SigninDialog                                                                                                |          1 |         52 |          0 |          2 |         54 |
| components\Stats                                                                                                       |          1 |         50 |          0 |          5 |         55 |
| components\services                                                                                                    |          1 |         66 |          0 |          5 |         71 |
| components\utilities                                                                                                   |          1 |          7 |          0 |          1 |          8 |
| context                                                                                                                |          1 |        102 |          0 |         18 |        120 |
| layouts                                                                                                                |          1 |         16 |          1 |          4 |         21 |
| pages                                                                                                                  |         19 |      1,124 |         19 |        145 |      1,288 |
| pages\Ad                                                                                                               |          1 |        160 |         10 |         14 |        184 |
| pages\Ads                                                                                                              |          1 |        163 |          4 |         19 |        186 |
| pages\Announcer                                                                                                        |          1 |        333 |          5 |         22 |        360 |
| pages\Dashboard                                                                                                        |          6 |         52 |          0 |         21 |         73 |
| pages\Dashboard\Ads                                                                                                    |          1 |          9 |          0 |          5 |         14 |
| pages\Dashboard\Announcer                                                                                              |          1 |         13 |          0 |          2 |         15 |
| pages\Dashboard\Announcers                                                                                             |          2 |         13 |          0 |          5 |         18 |
| pages\Dashboard\Categories                                                                                             |          1 |          8 |          0 |          8 |         16 |
| pages\Dashboard\Traffic                                                                                                |          1 |          9 |          0 |          1 |         10 |
| pages\Download                                                                                                         |          1 |         23 |          0 |          2 |         25 |
| pages\Furnitures                                                                                                       |          1 |         71 |          0 |         16 |         87 |
| pages\Home                                                                                                             |          1 |         18 |          0 |          7 |         25 |
| pages\Login                                                                                                            |          1 |         68 |          0 |         11 |         79 |
| pages\Privacy                                                                                                          |          1 |          8 |          0 |          4 |         12 |
| pages\Signup                                                                                                           |          1 |         42 |          0 |         15 |         57 |
| pages\Subscriptions                                                                                                    |          1 |        112 |          0 |          5 |        117 |
| pages\errors                                                                                                           |          3 |         74 |          0 |          9 |         83 |
| utils                                                                                                                  |          3 |         92 |          2 |         23 |        117 |
+------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| filename                                                                                                               | language       | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| c:\Users\LENOVO\Documents\GitHub\homeplace_front\src\App.tsx                                                           | TypeScript JSX |         55 |          0 |          6 |         61 |
| c:\Users\LENOVO\Documents\GitHub\homeplace_front\src\components\Dashboard\AdsTable\AdsTable.tsx                        | TypeScript JSX |        290 |          0 |         11 |        301 |
| c:\Users\LENOVO\Documents\GitHub\homeplace_front\src\components\Dashboard\AnnouncerPostDialog\AnnouncerPostDialog.tsx  | TypeScript JSX |        131 |          0 |          6 |        137 |
| c:\Users\LENOVO\Documents\GitHub\homeplace_front\src\components\Dashboard\AnnouncersTable\AnnouncersTable.tsx          | TypeScript JSX |        287 |          0 |         13 |        300 |
| c:\Users\LENOVO\Documents\GitHub\homeplace_front\src\components\Dashboard\CategoriesTable\CategoriesTable.tsx          | TypeScript JSX |        310 |          0 |         14 |        324 |
| c:\Users\LENOVO\Documents\GitHub\homeplace_front\src\components\Dashboard\CategoryPostDialog\CategoryPostDialog.tsx    | TypeScript JSX |         65 |          0 |          5 |         70 |
| c:\Users\LENOVO\Documents\GitHub\homeplace_front\src\components\Dashboard\FurniturePostDialog\FurniturePostDialog.scss | SCSS           |          0 |          0 |          1 |          1 |
| c:\Users\LENOVO\Documents\GitHub\homeplace_front\src\components\Dashboard\FurniturePostDialog\FurniturePostDialog.tsx  | TypeScript JSX |        124 |          0 |         21 |        145 |
| c:\Users\LENOVO\Documents\GitHub\homeplace_front\src\components\Dashboard\HousePostDialog\HousePostDialog.tsx          | TypeScript JSX |        133 |          0 |          9 |        142 |
| c:\Users\LENOVO\Documents\GitHub\homeplace_front\src\components\Dashboard\MediaPostDialog\MediaPostDialog.scss         | SCSS           |          0 |          0 |          1 |          1 |
| c:\Users\LENOVO\Documents\GitHub\homeplace_front\src\components\Dashboard\MediaPostDialog\MediaPostDialog.tsx          | TypeScript JSX |         72 |          0 |         11 |         83 |
| c:\Users\LENOVO\Documents\GitHub\homeplace_front\src\components\Dashboard\TrafficChart\TrafficChart.tsx                | TypeScript JSX |         33 |          0 |          1 |         34 |
| c:\Users\LENOVO\Documents\GitHub\homeplace_front\src\components\Dashboard\UserInfoCard\UserInfoCard.scss               | SCSS           |          0 |          0 |          1 |          1 |
| c:\Users\LENOVO\Documents\GitHub\homeplace_front\src\components\Dashboard\UserInfoCard\UserInfoCard.tsx                | TypeScript JSX |        189 |          1 |          9 |        199 |
| c:\Users\LENOVO\Documents\GitHub\homeplace_front\src\components\Dashboard\UserTabs\AdsTab\AdsTab.tsx                   | TypeScript JSX |        252 |          0 |          9 |        261 |
| c:\Users\LENOVO\Documents\GitHub\homeplace_front\src\components\Dashboard\UserTabs\MediasTab\MediaTab.tsx              | TypeScript JSX |          0 |          0 |          1 |          1 |
| c:\Users\LENOVO\Documents\GitHub\homeplace_front\src\components\Dashboard\UserTabs\UserTabs.scss                       | SCSS           |          0 |          0 |          1 |          1 |
| c:\Users\LENOVO\Documents\GitHub\homeplace_front\src\components\Dashboard\UserTabs\UserTabs.tsx                        | TypeScript JSX |         79 |          0 |          7 |         86 |
| c:\Users\LENOVO\Documents\GitHub\homeplace_front\src\components\FilterHeader\FilterHeader.tsx                          | TypeScript JSX |         84 |          0 |          5 |         89 |
| c:\Users\LENOVO\Documents\GitHub\homeplace_front\src\components\Footer\footer.tsx                                      | TypeScript JSX |         67 |          0 |          3 |         70 |
| c:\Users\LENOVO\Documents\GitHub\homeplace_front\src\components\Header\Hero\Hero.tsx                                   | TypeScript JSX |         79 |          1 |          7 |         87 |
| c:\Users\LENOVO\Documents\GitHub\homeplace_front\src\components\Header\Hero\hero.scss                                  | SCSS           |         24 |          0 |          4 |         28 |
| c:\Users\LENOVO\Documents\GitHub\homeplace_front\src\components\Header\Nav\Nav.tsx                                     | TypeScript JSX |        117 |          0 |          8 |        125 |
| c:\Users\LENOVO\Documents\GitHub\homeplace_front\src\components\Header\header.tsx                                      | TypeScript JSX |         13 |          0 |          5 |         18 |
| c:\Users\LENOVO\Documents\GitHub\homeplace_front\src\components\Nav2\Nav2.tsx                                          | TypeScript JSX |         89 |          0 |          6 |         95 |
| c:\Users\LENOVO\Documents\GitHub\homeplace_front\src\components\News_later\news_later.scss                             | SCSS           |          0 |          0 |          1 |          1 |
| c:\Users\LENOVO\Documents\GitHub\homeplace_front\src\components\News_later\news_later.tsx                              | TypeScript JSX |         25 |          0 |          1 |         26 |
| c:\Users\LENOVO\Documents\GitHub\homeplace_front\src\components\ProductCard\ProductCard.tsx                            | TypeScript JSX |         37 |          0 |          6 |         43 |
| c:\Users\LENOVO\Documents\GitHub\homeplace_front\src\components\ProductDetailCard\ProductDetailCard.tsx                | TypeScript JSX |        105 |          0 |          6 |        111 |
| c:\Users\LENOVO\Documents\GitHub\homeplace_front\src\components\SideBar\Sidebar.tsx                                    | TypeScript JSX |        132 |          0 |         12 |        144 |
| c:\Users\LENOVO\Documents\GitHub\homeplace_front\src\components\SigninDialog\SigninDialog.tsx                          | TypeScript JSX |         52 |          0 |          2 |         54 |
| c:\Users\LENOVO\Documents\GitHub\homeplace_front\src\components\Stats\Stats.tsx                                        | TypeScript JSX |         50 |          0 |          5 |         55 |
| c:\Users\LENOVO\Documents\GitHub\homeplace_front\src\components\services\Services.tsx                                  | TypeScript JSX |         66 |          0 |          5 |         71 |
| c:\Users\LENOVO\Documents\GitHub\homeplace_front\src\components\utilities\fourniture.js                                | JavaScript     |          7 |          0 |          1 |          8 |
| c:\Users\LENOVO\Documents\GitHub\homeplace_front\src\context\AuthContext.tsx                                           | TypeScript JSX |        102 |          0 |         18 |        120 |
